year,quarter,mineral,expenditure_aud_million
2019,2,all_minerals,664.8
2019,2,coal,52.5
2019,2,gold,259.8
2019,2,iron_ore,94.8
2019,2,uranium,3.1
2019,3,all_minerals,724.8
2019,3,coal,63.2
2019,3,gold,281.3
2019,3,iron_ore,102.8
2019,3,uranium,2.5
2019,4,all_minerals,753.1
2019,4,coal,77.6
2019,4,gold,303.9
2019,4,iron_ore,84.6
2019,4,uranium,2.3
2020,1,all_minerals,610.6
2020,1,coal,75.1
2020,1,gold,272.3
2020,1,iron_ore,75.2
2020,1,uranium,1.1
2020,2,all_minerals,683.3
2020,2,coal,87.2
2020,2,gold,304.4
2020,2,iron_ore,98.7
2020,2,uranium,1.6
2020,3,all_minerals,744.9
2020,3,coal,73.1
2020,3,gold,356.1
2020,3,iron_ore,111.0
2020,3,uranium,1.8
2020,4,all_minerals,770.0
2020,4,coal,56.2
2020,4,gold,383.5
2020,4,iron_ore,110.2
2020,4,uranium,2.2
2021,1,all_minerals,734.8
2021,1,coal,50.8
2021,1,gold,360.2
2021,1,iron_ore,101.2
2021,1,uranium,1.8
2021,2,all_minerals,912.0
2021,2,coal,54.9
2021,2,gold,429.8
2021,2,iron_ore,150.8
2021,2,uranium,3.9
2021,3,all_minerals,997.6
2021,3,coal,66.5
2021,3,gold,417.9
2021,3,iron_ore,174.6
2021,3,uranium,3.4
2021,4,all_minerals,951.7
2021,4,coal,54.0
2021,4,gold,390.8
2021,4,iron_ore,130.8
2021,4,uranium,3.2
2022,1,all_minerals,855.3
2022,1,coal,43.3
2022,1,gold,363.6
2022,1,iron_ore,139.5
2022,1,uranium,3.7
2022,2,all_minerals,1057.3
2022,2,coal,61.7
2022,2,gold,421.7
2022,2,iron_ore,201.0
2022,2,uranium,6.4
2022,3,all_minerals,1099.3
2022,3,coal,64.8
2022,3,gold,380.5
2022,3,iron_ore,200.0
2022,3,uranium,
2022,4,all_minerals,1048.2
2022,4,coal,71.4
2022,4,gold,359.3
2022,4,iron_ore,174.5
2022,4,uranium,12.0
2023,1,all_minerals,895.9
2023,1,coal,62.4
2023,1,gold,275.5
2023,1,iron_ore,141.4
2023,1,uranium,9.2
2023,2,all_minerals,1090.0
2023,2,coal,82.4
2023,2,gold,310.5
2023,2,iron_ore,191.8
2023,2,uranium,13.2
2023,3,all_minerals,1159.9
2023,3,coal,86.6
2023,3,gold,333.4
2023,3,iron_ore,196.5
2023,3,uranium,17.5
2023,4,all_minerals,1114.8
2023,4,coal,90.9
2023,4,gold,323.1
2023,4,iron_ore,166.2
2023,4,uranium,15.1
2024,1,all_minerals,909.6
2024,1,coal,79.3
2024,1,gold,284.4
2024,1,iron_ore,150.3
2024,1,uranium,10.2
2024,2,all_minerals,1030.4
2024,2,coal,87.0
2024,2,gold,296.0
2024,2,iron_ore,195.4
2024,2,uranium,15.1
2024,3,all_minerals,1016.7
2024,3,coal,79.6
2024,3,gold,297.5
2024,3,iron_ore,216.0
2024,3,uranium,26.7
2024,4,all_minerals,986.0
2024,4,coal,76.1
2024,4,gold,314.3
2024,4,iron_ore,208.0
2024,4,uranium,19.5
2025,1,all_minerals,816.2
2025,1,coal,55.9
2025,1,gold,293.9
2025,1,iron_ore,177.6
2025,1,uranium,12.5
2025,2,all_minerals,1009.9
2025,2,coal,58.6
2025,2,gold,402.5
2025,2,iron_ore,213.1
2025,2,uranium,13.6
2025,3,all_minerals,1069.4
2025,3,coal,68.3
2025,3,gold,431.4
2025,3,iron_ore,222.3
2025,3,uranium,18.2
2025,4,all_minerals,1053.8
2025,4,coal,59.4
2025,4,gold,469.3
2025,4,iron_ore,180.8
2025,4,uranium,14.5
