Agencies,ProjID,ProjName,PrimTech,Lat,Long
ARENA,2013/ASI057,"3-GER001: Uni South Australia, New photocathodes for solar hydrogen production",Solar Thermal,-34.80977,138.618937
ARENA,2013/ASI058,"3-GER002: ANU, High Quality Laser Doping for Solar Cells Through Improved Characterisation",Solar PV,-35.274441,149.120405
ARENA,2013/ASI059,"3-GER003: Suntech, Novel Texture Processes for the Latest Industrial Wafer and Advanced Cell Concepts",Solar PV,-33.941595,151.204156
ARENA,2013/BS0003,"Moree Solar Farm - Design, construction and build 56MWAC PV",Large-scale solar,-29.569665,149.86672
ARENA,2013/BS0006,AGL Solar PV project,Large-scale solar,-31.566251,147.070874
ARENA,2013/CAR001,Northern Territory Solar Energy Transformation Program (SETuP),Hybrid,-12.463993,130.840146
ARENA,2013/CAR002,Flinders Island Hybrid Energy Hub Project,Hybrid,-40.115579,148.029124
ARENA,2013/CAR008,Rottnest Island Renewable Energy Water Nexus Project,Hybrid,-32.003569,115.544088
ARENA,2013/ERP002,Potential Network Benefits of Solar Thermal Electricity Generation in the NEM,Solar Thermal,-33.878487,151.20599
ARENA,2013/ERP011,UltraBattery Distributed Solar PV Support and UltraBattery for RAPS,Battery Storage,-33.863913,151.203831
ARENA,2013/ERP021,A Low Emission Biofuel Technology,Bioenergy,-31.994499,115.888595
ARENA,2013/ERP024,Preparatory Activities for the Development of an off grid renewable energy island solution to reduce diesel dependency using mine dewatering in the Pilbara,Bioenergy,-23.016137,121.364126
ARENA,2013/ERP025,The Australian Wave Energy Atlas,Marine,-42.886737,147.338067
ARENA,2013/ERP033,Perenjori Dispatchable Solar Thermal Power Project,Solar Thermal,-29.442398,116.287434
ARENA,2013/ERP040,Enhanced Australian Participation in IEA Bioenergy Tasks and Activities,Bioenergy,-33.773059,151.160883
ARENA,2013/ERP044,Redeployable Hybrid Power Generation,Hybrid,-33.839858,151.209562
ARENA,2013/ERP047,Cloud Detection and Prediction for Maximising Solar PV Utilisation in Off-grid Hybrid Power Systems,Enabling,-23.767933,133.869251
ARENA,2013/ERP049,Future-proofing in Australia?ö?ç?ûs Electricity Distribution Industry?ö?ç?? Stage I,Enabling,-37.8105,144.970396
ARENA,2013/ERP055,Community Energy Strategy - Catalysing Community Renewables in Australia,Enabling,-33.883523,151.198904
ARENA,2013/ERP070,"Vast Solar 6MWth grid connected CSP research, development and demonstration facility with thermal energy storage",Solar Thermal,-33.404878,147.648328
ARENA,2013/PFD010,"2-F008: Matthew Edwards, Development of commercially viable high efficiency solar cells and module",Solar PV,-33.910275,151.22337
ARENA,2013/PFD013,"2-F021: Kallista Sears, ITO free, efficient organic solar cells based on textured graphene electrodes",Solar PV,-37.920354,145.131863
ARENA,2013/PFD028,"3-F006: Andrew Thomson, Reducing the cost of solar power by thin-film engineering strategies applied to crystalline silicon photovoltaic devices and modules",Solar PV,-35.274441,149.120405
ARENA,2013/PFD032,"4-F002: Ngwe Soe Josh Zin, Development of high-efficiency interdigitated back-contact silicon solar cells with advanced fabrication techniques and simplified processes",Solar PV,-35.274441,149.120405
ARENA,2013/PFD038,"5-F005: Krishna Feron, Harnessing energy losses in organic solar cells",Solar PV,-32.925689,151.77792
ARENA,2013/PFD042,"6-F001: Katherine Booker, Metal-assisted chemical etching of Sliver solar cells",Solar PV,-35.274441,149.120405
ARENA,2013/PFD043,"6-F002: Ning Song (was Xi Wang), Inkjet - enabled silicon solar cell fabrication - from lab to pilot production",Solar PV,-33.910275,151.22337
ARENA,2013/PFD044,"6-F007: Xinbo Yang, High efficiency n-type silicon solar cells with local laser doping by laser chemical processing (LCP)",Solar PV,-35.274441,149.120405
ARENA,2013/PFD045,"6-F008: Jose Zapata, Model predictive control of thermal components in point focus solar thermal systems",Solar Thermal,-35.274441,149.120405
ARENA,2013/PFD046,"6-F010: Nicholas Grant, High efficiency low cost silicon cells with anodically grown silicon dioxide films",Solar PV,-35.274441,149.120405
ARENA,2013/PFD047,"6-F019: Yuan Fang, Development of low bandgap polymeric acceptors for organic solar cells",Solar PV,-27.498305,153.013554
ARENA,2013/PFD048,"6-F020: Andrew Nattestad, Integration of high efficient photon up-conversion systems with organic solar cells for third generation photovoltaic applications",Solar PV,-34.405422,150.878403
ARENA,2013/PFD049,"6-F022: Ajay K Pandey, Singlet exciton fission and multiexciton harvesting in organic solar cells",Solar PV,-27.459852,152.863574
ARENA,2013/PFD050,"6-F023: Hasitha Weerasinghe, Flexible Barrier Encapsulation for printed solar cells",Solar PV,-37.920354,145.131863
